abastecidas;0;;;
abastecido;0;;;
abastecidos;0;;;
abastoso;1;;;
abata;1;;;
abatais;1;;;
abatam;1;;;
abatamo;1;;;
abatamos;1;;;
abatas;1;;;
abate;1;;;
abatê;1;;;
abatei;1;;;
abateis;1;;;
abatem;1;;;
abatemo;1;;;
abatemos;1;;;
abatendo;1;;;
abater;-1;;;
abatera;1;;;
abaterá;1;;;
abateram;1;;;
abatêramo;1;;;
abatêramos;1;;;
abaterão;1;;;
abateras;1;;;
abaterás;1;;;
abaterde;1;;;
abaterdes;1;;;
abatere;1;;;
abaterei;1;;;
abatêrei;1;;;
abatereis;1;;;
abatêreis;1;;;
abaterem;1;;;
abateremos;1;;;
abateres;1;;;
abateria;1;;;
abateriam;1;;;
abateríamos;1;;;
abaterias;1;;;
abateríeis;1;;;
abatermo;1;;;
abatermos;1;;;
abates;1;;;
abatesse;1;;;
abatêsseis;1;;;
abatessem;1;;;
abatêssemos;1;;;
abatesses;1;;;
abateste;1;;;
abatestes;1;;;
abateu;1;;;
abati;1;;;
abatia;1;;;
abatiam;1;;;
abatíamo;1;;;
abatíamos;1;;;
abatias;1;;;
abatida;-1;;;
abatidas;-1;;;
abatido;-1;;;
abatidos;-1;;;
abatíei;1;;;
abatíeis;1;;;
abatimento;-1;;;
abato;1;;;
abatocar;1;;;
abdicar;-1;;;
abdução;-1;;;
abduções;-1;;;
abduzir;1;;;
abduzir-se;1;;;
abeberar;0;;;
abeirar;1;;;
abeirar-se;1;;;
abelhuda;-1;;;
abelhudar;0;;;
abelhudas;-1;;;
abelhudo;-1;;;
abelhudos;-1;;;
abemolar;0;;;
abençoa;1;;;
abençoada;1;;;
abençoadas;1;;;
abençoado;1;;;
abençoados;1;;;
abençoar;1;;;
aberração;-1;;;
aberrante;-1;;;
aberrantes;-1;;;
aberrativa;-1;;;
aberrativas;-1;;;
aberrativo;-1;;;
aberrativos;-1;;;
aberratório;1;;;
aberta;0;;;
abertão;1;;;
abertas;0;;;
aberto;1;;;
abertos;0;;;
abespinhada;-1;;;
abespinhadas;-1;;;
abespinhado;-1;;;
abespinhados;-1;;;
abespinhar;-1;;;
abestalhada;-1;;;
abestalhadas;-1;;;
abestalhado;-1;;;
abestalhados;-1;;;
abestalhar;-1;;;
abetumado;-1;;;
abetumar;-1;;;
abicar;0;;;
abichar;0;;;
abilolada;-1;;;
abiloladas;-1;;;
abilolado;-1;;;
abilolados;-1;;;
abiscoitar;0;;;
abiselar;1;;;
abismada;-1;;;
abismadas;-1;;;
abismado;-1;;;
abismados;-1;;;
abismais;-1;;;
abismal;-1;;;
abismar;1;;;
abjeção;-1;;;
abjecção;-1;;;
abjecta;-1;;;
abjectas;-1;;;
abjecto;-1;;;
abjectos;-1;;;
abjeta;-1;;;
abjetas;-1;;;
abjeto;-1;;;
abjetos;-1;;;
abjugar;1;;;
abjugar-se;1;;;
abjurar;1;;;
ablegar;1;;;
ablegar-se;1;;;
abluir;0;;;
abnegada;1;;;
abnegadas;1;;;
abnegado;1;;;
abnegados;1;;;
abnegar;1;;;
abnoitar;1;;;
abnormal;1;;;
abnóxio;1;;;
abnuir;1;;;
abobada;-1;;;
abobadar;0;;;
abobadas;-1;;;
abobado;-1;;;
abobados;-1;;;
abobalhada;-1;;;
abobalhadas;-1;;;
abobalhado;-1;;;
abobalhados;-1;;;
abobalhar;1;;;
abobar;-1;;;
abocanhar;-1;;;
abocar;-1;;;
abodegado;-1;;;
abodegar;-1;;;
abolachar;0;;;
abolar;-1;;;
abolçar;0;;;
aboleimar;0;;;
aboletar;0;;;
abolicionista;0;;;
abolicionistas;0;;;
abolida;-1;;;
abolidas;-1;;;
abolido;-1;;;
abolidos;-1;;;
abolir;-1;;;
abolorecer;1;;;
abolorentar;1;;;
abolsar;1;;;
abomina;-1;;;
abominá;0;;;
abominação;-1;;;
abominado;-1;;;
abominador;-1;;;
abominadora;-1;;;
abominadoras;-1;;;
abominadores;-1;;;
abominai;0;;;
abominais;0;;;
abominam;0;;;
abominamo;0;;;
abominámo;0;;;
abominamos;0;;;
abominámos;0;;;
abominanda;-1;;;
abominandas;-1;;;
abominando;-1;;;
abominandos;-1;;;
abominar;-1;;;
abominara;0;;;
abominará;0;;;
abominaram;0;;;
abomináramo;0;;;
abomináramos;0;;;
abominarão;0;;;
abominaras;0;;;
abominarás;0;;;
abominarde;0;;;
abominardes;0;;;
abominare;0;;;
abominarei;0;;;
abominárei;0;;;
abominareis;0;;;
abomináreis;0;;;
abominarem;0;;;
abominaremos;0;;;
abominares;0;;;
abominaria;0;;;
abominariam;0;;;
abominaríamos;0;;;
abominarias;0;;;
abominaríeis;0;;;
abominarmo;0;;;
abominarmos;0;;;
abominas;0;;;
abominasse;0;;;
abominásseis;0;;;
abominassem;0;;;
abominássemos;0;;;
abominasses;0;;;
abominaste;0;;;
abominastes;0;;;
abominava;0;;;
abominavam;0;;;
abominávamo;0;;;
abominávamos;0;;;
abominavas;0;;;
abominávei;0;;;
abomináveis;-1;;;
abominável;-1;;;
abomine;0;;;
abominei;0;;;
abomineis;0;;;
abominem;0;;;
abominemo;0;;;
abominemos;0;;;
abomines;0;;;
abomino;0;;;
abominoso;-1;;;
abominou;-1;;;
abonada;1;;;
abonadas;1;;;
abonado;1;;;
abonados;1;;;
abonançar;1;;;
abonançar-se;1;;;
abonar;1;;;
abonatória;1;;;
abonatórias;1;;;
abonatório;1;;;
