pronomes, absolutas,tristes, raiva, tristeza, desgosto, medo, surpresa, neutro, isDepressivo
0.031746031746031744,0.031746031746031744,0.0,0.5404245798256756,0.031622654112563174,0.007919125830628832,0.0028903073783798088,0.030132599538438644,0.3870107333143174,1
0.034013605442176874,0.02040816326530612,0.006802721088435374,0.5404245798256758,0.03162265411256316,0.00791912583062883,0.00289030737837981,0.03013259953843866,0.38701073331431723,1
0.0379746835443038,0.056962025316455694,0.006329113924050633,0.5404245798256758,0.03162265411256316,0.00791912583062883,0.00289030737837981,0.03013259953843866,0.38701073331431723,1
0.035211267605633804,0.04225352112676056,0.007042253521126761,0.5404245798256756,0.03162265411256316,0.007919125830628836,0.0028903073783798088,0.030132599538438637,0.38701073331431735,1
0.10273972602739725,0.0410958904109589,0.0136986301369863,0.5404245798256759,0.03162265411256316,0.00791912583062883,0.0028903073783798096,0.030132599538438658,0.38701073331431723,1
0.09230769230769231,0.06153846153846154,0.015384615384615385,0.5404245798256758,0.03162265411256316,0.007919125830628834,0.002890307378379809,0.03013259953843865,0.3870107333143171,1
0.09090909090909091,0.05844155844155844,0.01948051948051948,0.5404245798256756,0.03162265411256316,0.007919125830628836,0.0028903073783798088,0.030132599538438637,0.38701073331431735,1
0.050955414012738856,0.05732484076433121,0.01910828025477707,0.5404245798256755,0.0316226541125632,0.007919125830628829,0.0028903073783798088,0.030132599538438665,0.3870107333143172,1
0.11023622047244094,0.023622047244094488,0.007874015748031496,0.5404245798256758,0.03162265411256316,0.007919125830628834,0.002890307378379809,0.03013259953843865,0.3870107333143171,1
0.16666666666666666,0.06547619047619048,0.023809523809523808,0.5404245798256755,0.03162265411256319,0.00791912583062883,0.0028903073783798088,0.030132599538438658,0.38701073331431735,1
0.0625,0.04375,0.00625,0.5404245798256759,0.03162265411256316,0.00791912583062883,0.0028903073783798096,0.03013259953843866,0.3870107333143172,1
0.02027027027027027,0.033783783783783786,0.033783783783783786,0.5404245798256755,0.03162265411256319,0.00791912583062883,0.0028903073783798088,0.030132599538438654,0.3870107333143174,1
0.049689440993788817,0.012422360248447204,0.018633540372670808,0.5404245798256758,0.03162265411256316,0.007919125830628832,0.002890307378379809,0.030132599538438658,0.3870107333143171,1
0.06535947712418301,0.006535947712418301,0.006535947712418301,0.5404245798256758,0.03162265411256316,0.007919125830628832,0.002890307378379809,0.030132599538438654,0.38701073331431707,1
0.10152284263959391,0.04568527918781726,0.015228426395939087,0.5404245798256758,0.03162265411256316,0.007919125830628834,0.002890307378379809,0.03013259953843865,0.3870107333143171,1
0.1,0.02857142857142857,0.014285714285714285,0.5404245798256755,0.0316226541125632,0.007919125830628829,0.0028903073783798088,0.030132599538438665,0.3870107333143172,1
0.07103825136612021,0.03825136612021858,0.01639344262295082,0.5404245798256755,0.03162265411256318,0.007919125830628832,0.0028903073783798088,0.030132599538438647,0.38701073331431746,1
0.007194244604316547,0.06474820143884892,0.007194244604316547,0.5404245798256759,0.03162265411256316,0.00791912583062883,0.0028903073783798096,0.030132599538438658,0.38701073331431723,1
0.087248322147651,0.053691275167785234,0.006711409395973154,0.5404245798256759,0.03162265411256316,0.00791912583062883,0.0028903073783798096,0.03013259953843866,0.3870107333143172,1
0.041666666666666664,0.034722222222222224,0.006944444444444444,0.5404245798256756,0.03162265411256316,0.007919125830628836,0.0028903073783798088,0.030132599538438637,0.38701073331431735,1
0.08125,0.04375,0.05,0.5404245798256758,0.03162265411256316,0.007919125830628832,0.002890307378379809,0.030132599538438654,0.38701073331431707,1
