ctg_pronomes,ctg_absolutas,ctg_tristes,6sents_alegria,6sents_raiva,6sents_tristeza,6sents_desgosto,6sents_medo,6sents_surpresa,3sents_prob_positivo,3sents_prob_negativo,3sents_prob_neutro,3sents100_positivo,3sents010negativo,3sents001neutro,polaridade,isDepressivo
0.034722222222222224,0.034722222222222224,0.020833333333333332,0.18971793107591323,0.013348814052256169,0.40883915896792433,0.0044987662817495095,0.155950516131993,0.2276448134901687,0.07559763907150563,0.8793410956607705,0.04506126526772345,3,27,0,9,1
0.020833333333333332,0.034722222222222224,0.013888888888888888,0.25599048825469795,0.002901438682420122,0.02794188819663617,0.0014932461128991873,0.007623335625590712,0.7040496031277538,0.016949766305582682,0.9706978178729034,0.012352415821513063,0,29,0,17,1
0.03164556962025317,0.02531645569620253,0.006329113924050633,0.1835685089732083,0.00498041544078053,0.6059945478199104,0.0062111073218206045,0.0016366723646505912,0.19760874807962794,0.1508723596584261,0.791049765914189,0.05807787442738627,4,23,2,5,1
0.0,0.05785123966942149,0.03305785123966942,0.0022666189787426128,0.0013244759375469221,0.24705563823285803,0.023110962596502093,0.0033087554554436906,0.7229335487989039,0.08193896805106209,0.8897701650730091,0.02829086687593014,1,29,0,-1,1
0.013986013986013986,0.06293706293706294,0.03496503496503497,0.05510715363121283,0.0017372316733766967,0.6803629236834611,0.0011467645038760242,0.005965207502448922,0.25568071900562533,0.08100577233867079,0.8739881250721352,0.04500610258919115,2,27,1,0,1
0.0,0.03571428571428571,0.06428571428571428,0.010927718502449483,0.0009516910103085498,0.06549437407334008,0.0013346905022225033,0.01052608005244604,0.9107654458592299,0.0342350038918967,0.9283081235851048,0.0374568725229968,1,28,1,1,1
0.0,0.06666666666666667,0.02962962962962963,0.004161898729702699,0.006130173629049659,0.14714959694066188,0.00010141006588876735,0.0006782454708003706,0.8417786751639031,0.044238802321563915,0.9209669295221975,0.03479426815624016,0,29,1,4,1
0.019736842105263157,0.039473684210526314,0.019736842105263157,0.001478884202097321,0.0015404445457505272,0.08116702391375896,0.018767270931779358,0.01801875045114772,0.879027625955462,0.07393583589638034,0.8599904299528875,0.06607373415073367,1,28,1,22,1
0.007407407407407408,0.014814814814814815,0.02962962962962963,0.045641500031616405,0.00033242683431433103,0.022163139415105823,0.0007551981235676442,0.00013061882775278167,0.9309771167676396,0.0766938126067814,0.8874027730229215,0.03590341437029783,2,28,0,14,1
0.0,0.037037037037037035,0.014814814814814815,0.0002688214334967498,0.0005542976095273695,0.12500437489928154,9.482355225084077e-05,2.6330414076917415e-05,0.8740513520913635,0.015660443533912896,0.9655281904330211,0.018811366033064745,0,29,1,13,1
0.020833333333333332,0.034722222222222224,0.006944444444444444,0.009964865925584354,0.0031499788593555298,0.25241983531587875,0.004985007153725961,0.0023733793781192183,0.7271069333673388,0.12101391325159513,0.7882761844684836,0.09070990227992239,2,26,4,3,1
0.013793103448275862,0.027586206896551724,0.006896551724137931,0.013490363301074044,0.00499260869673877,0.5257961584843356,0.2215188797273226,0.0039138176687698875,0.23028817212176364,0.05947502900081662,0.916334501803072,0.024190469196111744,1,31,0,4,1
0.0,0.08955223880597014,0.007462686567164179,0.01583624643769547,0.005551093688363994,0.4984417514753624,0.005524732440169544,0.003451245390196144,0.47119493056820133,0.07806120310342597,0.8425935774443563,0.07934521945221956,2,28,3,11,1
0.013888888888888888,0.041666666666666664,0.013888888888888888,0.013569869994435164,0.08322978055257127,0.8580943007306526,0.007677424890470436,0.008796722125288006,0.028631901706583664,0.0675684280704623,0.8588484853665925,0.07358308656294585,1,26,2,4,1
0.006896551724137931,0.020689655172413793,0.006896551724137931,0.05439303571775193,0.004623265605299813,0.46461067360118957,0.09017667935682908,0.05979691506598693,0.32639943065294846,0.05946863617466507,0.8790103303184653,0.06152103350687085,2,26,1,16,1
0.0,0.04895104895104895,0.04895104895104895,0.017134137620632338,0.005191122993136786,0.21272877532925585,0.005154663368123824,0.005016082697156201,0.7547752179916939,0.09972356559070619,0.8558352549441978,0.0444411794650954,3,23,1,12,1
0.02702702702702703,0.013513513513513514,0.013513513513513514,0.00241228590369645,0.000637953314691539,0.7885870656145394,0.003382421379758189,0.004721725951110847,0.20025854783619976,0.05227100031356878,0.8411362963645018,0.10659270332192948,1,25,4,12,1
0.026143790849673203,0.0196078431372549,0.032679738562091505,0.09596905866647307,0.003792432462335036,0.45299915204133395,0.008430934621965801,0.09276400715057978,0.3460444150573106,0.09449706582506136,0.8866639304300591,0.018839003744879075,2,25,1,10,1
0.0,0.03937007874015748,0.023622047244094488,0.017927881005876858,0.002316055267382328,0.96551511547515,0.003134027700537194,0.007313254530379745,0.0037936660206684012,0.03682133392973634,0.8831051904205919,0.08007347564967171,0,27,3,6,1
0.012345679012345678,0.006172839506172839,0.037037037037037035,0.02076042048328235,0.0034475673944929764,0.24962890632220175,0.0025812642044419445,0.0006512777952499613,0.7229305638003324,0.17515813357719112,0.7746027295715591,0.050239136851247576,5,24,1,5,1
0.0,0.06666666666666667,0.02,0.11277316420382415,0.007278449769493705,0.009828359366898166,0.04589981154801585,0.0030864470735034863,0.821133768038266,0.08370144578547539,0.7715030241250588,0.1447955300894664,1,25,4,6,1
0.1360544217687075,0.047619047619047616,0.04081632653061224,0.002449783738007897,0.00011273297392373734,0.00042152385777299904,1.6835904721816104e-05,0.0002868134105341702,0.9967123101150366,0.09723998437562874,0.8521506894941407,0.05060932613023023,1,27,2,8,1
0.096045197740113,0.04519774011299435,0.0,0.18966786779767614,0.0013581644949036266,0.6537170488113367,0.03211785214648886,0.0032901213980835913,0.11984894535150839,0.16331575623240827,0.7388365814206657,0.097847662346926,5,28,4,11,1
0.05232558139534884,0.046511627906976744,0.005813953488372093,0.0049559939118007405,0.002156932964417614,0.059504054500800936,0.0053481516515771895,0.006461789566845119,0.9215730774045604,0.22793793823035122,0.6459935862266899,0.12606847554295836,6,29,4,10,1
0.03773584905660377,0.025157232704402517,0.006289308176100629,0.04517584322199932,0.0055320911499754455,0.1422879347187013,0.02861467743882552,0.05612955028399547,0.7222599031864997,0.09251074801920732,0.7741167700472068,0.1333724819335864,2,28,4,-6,0
0.041379310344827586,0.04827586206896552,0.020689655172413793,0.0004686423969782391,0.0047759097349431906,0.07048237268658339,0.0020706272488549148,0.003032892596877101,0.9191695553357624,0.22272534255407528,0.7090328477695642,0.06824180967635943,6,24,2,-5,0
0.0,0.04666666666666667,0.013333333333333334,0.05329366116981091,0.0008283980942290276,0.06265211988102228,0.0026062750460715918,0.011211630116207698,0.8694079156926592,0.2342794034341825,0.7097492516321116,0.0559713449337068,5,24,1,8,0
0.012048192771084338,0.030120481927710843,0.030120481927710843,0.11781013382427498,0.010793068760648575,0.3832681133010134,0.01302465481899263,0.0032034085452274106,0.47190062074984274,0.18344528055200437,0.7008651859166568,0.11568953353133918,5,25,4,5,0
0.012658227848101266,0.0189873417721519,0.0,0.002507988847250656,0.004057661848994997,0.012439039212691733,0.036234254658056776,0.3375930417852253,0.607168013647777,0.15073776831961175,0.7455459195445737,0.1037163121358141,3,24,3,-6,0
0.0,0.020689655172413793,0.020689655172413793,0.031202951624876997,0.03279760191495104,0.007289258203334104,0.04780756911225439,0.0071315498923888694,0.8737710692521922,0.14935631526607315,0.8375759572646054,0.013067727469319229,5,25,0,6,0
0.04827586206896552,0.013793103448275862,0.013793103448275862,0.003284219451921571,0.0009614930698847733,0.8503386068651055,0.04809242881739273,0.004979219811797165,0.0923440319838937,0.09990358860895417,0.8352562830745203,0.06484012831652516,2,27,3,7,0
