pronomes, absolutas,tristes, alegria, raiva, tristeza, desgosto, medo, surpresa, neutro, isDepressivo
0.032,0.032,0.0,0.08574112880518743,0.014986150297456821,0.00519182500495127,0.0018949023465479422,0.019755107709334526,0.6187043956429258,1,0.25372649019359966
0.033783783783783786,0.02027027027027027,0.006756756756756757,0.08574112880518736,0.014986150297456816,0.0051918250049512666,0.001894902346547942,0.019755107709334516,0.6187043956429258,1,0.2537264901935994
0.038461538461538464,0.057692307692307696,0.00641025641025641,0.08574112880518736,0.014986150297456816,0.0051918250049512666,0.001894902346547942,0.019755107709334516,0.6187043956429258,1,0.2537264901935994
0.03571428571428571,0.03571428571428571,0.007142857142857143,0.08574112880518743,0.014986150297456815,0.00519182500495127,0.0018949023465479416,0.019755107709334526,0.6187043956429258,1,0.2537264901935996
0.09929078014184398,0.0425531914893617,0.014184397163120567,0.08574112880518736,0.014986150297456816,0.0051918250049512666,0.0018949023465479422,0.01975510770933452,0.6187043956429258,1,0.2537264901935994
0.08527131782945736,0.06201550387596899,0.015503875968992248,0.0857411288051874,0.014986150297456816,0.005191825004951268,0.001894902346547942,0.019755107709334523,0.6187043956429258,1,0.2537264901935995
0.0915032679738562,0.058823529411764705,0.013071895424836602,0.08574112880518743,0.014986150297456815,0.00519182500495127,0.0018949023465479416,0.019755107709334526,0.6187043956429258,1,0.2537264901935996
0.05128205128205128,0.057692307692307696,0.019230769230769232,0.08574112880518743,0.014986150297456834,0.00519182500495127,0.0018949023465479435,0.019755107709334526,0.6187043956429258,1,0.25372649019359966
0.11023622047244094,0.023622047244094488,0.007874015748031496,0.0857411288051874,0.014986150297456816,0.005191825004951268,0.001894902346547942,0.019755107709334523,0.6187043956429258,1,0.2537264901935995
0.16766467065868262,0.0658682634730539,0.023952095808383235,0.08574112880518744,0.014986150297456828,0.005191825004951271,0.001894902346547943,0.019755107709334526,0.6187043956429258,1,0.25372649019359966
